,Cycle,Charge Capacity (Ah),Discharge Capacity (Ah)
0,1,0.29252,1.39418
1,2,0.28714,1.39583
2,3,0.28601,1.39867
3,4,0.28439000000000003,1.3991200000000001
4,5,0.28531,1.39895
5,6,0.28202,1.39878
6,7,0.28185,1.40001
7,8,0.28096,1.40021
8,9,0.27991,1.40047
9,10,0.28105,1.3998
10,11,0.28028000000000003,1.39996
11,12,0.27868000000000004,1.40002
12,13,0.27893,1.39986
13,14,0.27813000000000004,1.39967
14,15,0.27835,1.39993
15,16,0.27710999999999997,1.39952
16,17,0.27715,1.39981
17,18,0.27666999999999997,1.39981
18,19,0.27592,1.3993799999999998
19,20,0.27560999999999997,1.39963
20,21,0.27537,1.39937
21,22,0.27515,1.39891
22,23,0.27449,1.3988200000000002
23,24,0.27393,1.39868
24,25,0.27382,1.3986299999999998
25,26,0.27344,1.39867
26,27,0.27345,1.3986299999999998
27,28,0.2727,1.39822
28,29,0.27282,1.39822
29,30,0.2728,1.39798
30,31,0.27166999999999997,1.39806
31,32,0.27184,1.3975600000000001
32,33,0.27131,1.39737
33,34,0.27131,1.39743
34,35,0.27137,1.39667
35,36,0.27061,1.39701
36,37,0.27021,1.39707
37,38,0.27018000000000003,1.3961700000000001
38,39,0.27024000000000004,1.3963700000000001
39,40,0.27016999999999997,1.39581
40,41,0.26995,1.39535
41,42,0.2704,1.3952
42,43,0.2699,1.39495
43,44,0.2706,1.39458
44,45,0.27001,1.39445
45,46,0.26957,1.39395
46,47,0.26957,1.39376
47,48,0.26994,1.39361
48,49,0.26976999999999995,1.3935799999999998
49,50,0.26955,1.39305
50,51,0.26954,1.3929200000000002
51,52,0.26898,1.39222
52,53,0.26687,1.3929799999999999
53,54,0.26896,1.39291
54,55,0.26863000000000004,1.39232
55,56,0.26844,1.39167
56,57,0.26849,1.39038
57,58,0.26807,1.39116
58,59,0.26803,1.39127
59,60,0.26873,1.3908
60,61,0.26808000000000004,1.39066
61,62,0.26836,1.39066
62,63,0.26694,1.39036
63,64,0.26809,1.38986
64,65,0.26761999999999997,1.38962
65,66,0.26747,1.38935
66,67,0.26773,1.38905
67,68,0.26778,1.38878
68,69,0.26778,1.38856
69,70,0.26626,1.3888
70,71,0.26718000000000003,1.38808
71,72,0.26693,1.38731
72,73,0.26789,1.3867200000000002
73,74,0.2675,1.38668
74,75,0.26763000000000003,1.38636
75,76,0.26800999999999997,1.38655
76,77,0.26758000000000004,1.3860299999999999
77,78,0.26794,1.3861
78,79,0.26814,1.38541
79,80,0.26728,1.3851
80,81,0.26729,1.38473
81,82,0.26759,1.38455
82,83,0.26766,1.3844100000000001
83,84,0.26711999999999997,1.38422
84,85,0.267,1.38412
85,86,0.2669,1.38378
86,87,0.26744,1.3833799999999998
87,88,0.26783,1.3832799999999998
88,89,0.26713000000000003,1.3826200000000002
89,90,0.26769,1.38242
90,91,0.26738,1.38211
91,92,0.26678,1.38163
92,93,0.26708000000000004,1.38192
93,94,0.26679,1.3813
94,95,0.26702,1.3810200000000001
95,96,0.26726,1.38063
96,97,0.2674,1.38028
97,98,0.26693,1.38011
98,99,0.26716999999999996,1.37988
99,100,0.26705,1.37965
100,101,0.26757,1.37955
101,102,0.26819,1.37881
102,103,0.26776,1.37903
103,104,0.26775,1.3786200000000002
104,105,0.2676,1.37836
105,106,0.26754,1.37771
106,107,0.26805999999999996,1.37775
107,108,0.26695,1.3776
108,109,0.26682,1.3772799999999998
109,110,0.26771,1.37695
110,111,0.26711999999999997,1.3766200000000002
111,112,0.26629,1.3758700000000001
112,113,0.26804,1.37552
113,114,0.2672,1.37531
114,115,0.26764,1.37505
115,116,0.26713000000000003,1.3751799999999998
116,117,0.26728,1.37497
117,118,0.26694,1.3747
118,119,0.26711999999999997,1.3744
119,120,0.26724000000000003,1.3732799999999998
120,121,0.26755999999999996,1.37348
121,122,0.26788,1.3735
122,123,0.26761,1.3732
123,124,0.26784,1.3731200000000001
124,125,0.2677,1.37216
125,126,0.26816,1.37176
126,127,0.26776,1.3718700000000001
127,128,0.26819,1.37153
128,129,0.26788,1.3713
129,130,0.26759,1.37115
130,131,0.26786,1.37001
131,132,0.2687,1.37063
132,133,0.26757,1.36971
133,134,0.26783,1.3698299999999999
134,135,0.26709,1.36973
135,136,0.26811999999999997,1.36932
136,137,0.26779000000000003,1.36927
137,138,0.26829000000000003,1.3686200000000002
138,139,0.26754,1.36847
139,140,0.26816,1.3686
140,141,0.26826,1.3683100000000001
141,142,0.26782,1.3675
142,143,0.26738,1.3674
143,144,0.26818000000000003,1.36723
144,145,0.2676,1.36675
145,146,0.26874000000000003,1.3663
146,147,0.26768000000000003,1.36635
147,148,0.26773,1.36556
148,149,0.26897,1.36522
149,150,0.26911,1.3650200000000001
150,151,0.26869,1.36481
151,152,0.26825,1.3643
152,153,0.26891,1.36408
153,154,0.26878,1.36368
154,155,0.26846,1.36337
155,156,0.26857,1.36325
156,157,0.2691,1.36301
157,158,0.26925,1.3628799999999999
158,159,0.26900999999999997,1.36247
159,160,0.26909,1.36206
160,161,0.26926,1.36153
161,162,0.26905,1.3613600000000001
162,163,0.26905999999999997,1.36096
163,164,0.26921999999999996,1.36127
164,165,0.26871999999999996,1.36093
165,166,0.26955,1.36057
166,167,0.26937,1.36008
167,168,0.26899,1.3596700000000002
168,169,0.2694,1.35958
169,170,0.26911999999999997,1.3594
170,171,0.26638,1.3603
171,172,0.26842,1.35942
172,173,0.26804,1.3589799999999999
173,174,0.26905,1.35861
174,175,0.26892,1.3582100000000001
175,176,0.2691,1.3579
176,177,0.26911999999999997,1.35753
177,178,0.26937,1.35761
178,179,0.2693,1.3574
179,180,0.26954,1.35673
180,181,0.26923,1.35637
181,182,0.2697,1.35616
182,183,0.26984,1.35612
183,184,0.27011999999999997,1.3559700000000001
184,185,0.26986,1.35553
185,186,0.2697,1.35522
186,187,0.26952,1.3551799999999998
187,188,0.26924000000000003,1.35456
188,189,0.26968000000000003,1.35456
189,190,0.26969,1.35417
190,191,0.26983,1.35378
191,192,0.26971999999999996,1.3537700000000001
192,193,0.27014,1.35333
193,194,0.27098,1.3525200000000002
194,195,0.27039,1.35293
195,196,0.27173,1.35267
196,197,0.27076999999999996,1.35207
197,198,0.27171999999999996,1.3517700000000001
198,199,0.27107,1.35161
199,200,0.27033,1.35081
200,201,0.27034,1.35135
201,202,0.27061,1.3508
202,203,0.27113000000000004,1.35027
203,204,0.27165,1.3504200000000002
204,205,0.27066999999999997,1.3500299999999998
205,206,0.27046,1.34991
206,207,0.27147,1.34941
207,208,0.27181,1.34866
208,209,0.27121999999999996,1.34866
209,210,0.27279000000000003,1.34867
210,211,0.27234,1.3478700000000001
211,212,0.26896,1.34895
212,213,0.27043,1.3484200000000002
213,214,0.27126,1.34782
214,215,0.27193,1.34965
215,216,0.27014,1.34705
216,217,0.2707,1.3464200000000002
217,218,0.27124000000000004,1.34665
218,219,0.27104,1.34656
219,220,0.27082,1.3463200000000002
220,221,0.27087,1.3458299999999999
221,222,0.27104,1.34553
222,223,0.27219,1.34553
223,224,0.2721,1.3451
224,225,0.27209,1.34558
225,226,0.27212,1.34476
226,227,0.27157,1.3437700000000001
227,228,0.27216999999999997,1.34366
228,229,0.27305999999999997,1.34353
229,230,0.27368000000000003,1.3431600000000001
230,231,0.27364,1.34281
231,232,0.27195,1.34317
232,233,0.27132,1.34291
233,234,0.2724,1.3431
234,235,0.2711,1.34257
235,236,0.27238,1.34253
236,237,0.27279000000000003,1.34243
237,238,0.27252,1.3423200000000002
238,239,0.27466999999999997,1.3428
239,240,0.27347,1.34198
240,241,0.27321,1.34075
241,242,0.27273000000000003,1.34018
242,243,0.2727,1.3403100000000001
243,244,0.2734,1.3400299999999998
244,245,0.27341,1.33958
245,246,0.27421,1.3394
246,247,0.27435,1.33997
247,248,0.2726,1.3396
248,249,0.27305,1.33897
249,250,0.27395,1.33867
250,251,0.27405999999999997,1.33865
251,252,0.27457,1.33833
252,253,0.27426999999999996,1.33791
253,254,0.27393,1.33762
254,255,0.27452,1.33712
255,256,0.2749,1.33711
256,257,0.27489,1.33683
257,258,0.2751,1.3367
258,259,0.27447,1.33607
259,260,0.2753,1.33591
260,261,0.27541,1.3357299999999999
261,262,0.27492,1.33562
262,263,0.27528,1.33555
263,264,0.27624,1.3355
264,265,0.2759,1.33512
265,266,0.27489,1.33438
266,267,0.27496,1.3342
267,268,0.27576,1.33396
268,269,0.27514,1.33371
269,270,0.27646,1.3336700000000001
270,271,0.27549,1.33332
271,272,0.27626999999999996,1.33336
272,273,0.27575,1.3329600000000001
273,274,0.27673000000000003,1.33251
274,275,0.27589,1.33208
275,276,0.27587,1.3321100000000001
276,277,0.27564,1.3317700000000001
277,278,0.27683,1.33156
278,279,0.27646,1.33121
279,280,0.277,1.33102
280,281,0.27694,1.3310799999999998
281,282,0.27675,1.33075
282,283,0.27646,1.33006
283,284,0.27655,1.32986
284,285,0.27714,1.33017
285,286,0.27702,1.32985
286,287,0.27708,1.3295700000000001
287,288,0.27631,1.3289799999999998
288,289,0.27685,1.32856
289,290,0.27701,1.32877
290,291,0.27728,1.3286200000000001
291,292,0.27776999999999996,1.328
292,293,0.27683,1.3282200000000002
293,294,0.27766,1.32762
294,295,0.27712,1.3278
295,296,0.27704,1.32718
296,297,0.27771999999999997,1.3275
297,298,0.27809,1.3272
298,299,0.278,1.32683
299,300,0.27885,1.32651
