,Time (s),Current (A),Voltage (V)
0,0.0,4.0,3.31586
1,10.0,4.0000800000000005,3.421
2,20.0,4.00015,3.49241
3,30.0,4.0000800000000005,3.5461199999999997
4,40.0,4.0004599999999995,3.5882400000000003
5,50.0,3.99985,3.61479
6,60.0,3.99977,3.62699
7,70.0,3.99969,3.6346199999999995
8,80.0,4.0000800000000005,3.64088
9,90.0,4.0000800000000005,3.6479
10,100.0,4.0000800000000005,3.65476
11,110.0,4.0,3.6614800000000005
12,120.0,3.99985,3.6678900000000003
13,130.0,4.0000800000000005,3.67445
14,140.0,4.00023,3.6807
15,150.0,3.99992,3.68681
16,160.0,3.99992,3.6932199999999997
17,170.0,3.99985,3.6991699999999996
18,180.0,3.99992,3.7052699999999996
19,190.0,4.0,3.7112199999999995
20,200.0,3.99992,3.7170199999999998
21,210.0,4.00015,3.7223599999999997
22,220.0,3.99985,3.72801
23,230.0,3.99985,3.7328900000000003
24,240.0,3.99992,3.7374699999999996
25,250.0,4.00015,3.74159
26,260.0,3.99985,3.74586
27,270.0,4.0,3.74983
28,280.0,4.0,3.75395
29,290.0,4.0000800000000005,3.75792
30,300.0,4.0,3.7615800000000004
31,310.0,4.0,3.76539
32,320.0,4.0,3.76936
33,330.0,3.99992,3.77302
34,340.0,3.99985,3.77745
35,350.0,3.99992,3.78111
36,360.0,3.99992,3.7849199999999996
37,370.0,4.0,3.78904
38,380.0,4.00015,3.7930099999999998
39,390.0,3.99985,3.7968300000000004
40,400.0,3.99992,3.80095
41,410.0,3.99985,3.80491
42,420.0,3.99992,3.8090300000000004
43,430.0,3.99992,3.81331
44,440.0,3.99985,3.8174300000000003
45,450.0,3.99977,3.822
46,460.0,3.99977,3.8265800000000003
47,470.0,4.0000800000000005,3.83146
48,480.0,3.99985,3.83635
49,490.0,3.99985,3.84154
50,500.0,4.00015,3.84688
51,510.0,4.0,3.8522199999999995
52,520.0,4.0,3.85786
53,530.0,3.99992,3.86366
54,540.0,3.99992,3.8699199999999996
55,550.0,4.0,3.8761699999999997
56,560.0,3.99985,3.8827300000000005
57,570.0,4.0000800000000005,3.88975
58,580.0,4.0,3.8966199999999995
59,590.0,4.00015,3.9037900000000003
60,600.0,4.0,3.9109599999999998
61,610.0,3.99992,3.91814
62,620.0,3.99977,3.9253099999999996
63,630.0,4.0000800000000005,3.93263
64,640.0,3.99992,3.93965
65,650.0,3.99992,3.9471300000000005
66,660.0,4.0,3.95384
67,670.0,3.99977,3.9611699999999996
68,680.0,3.99977,3.96788
69,690.0,3.99992,3.9749
70,700.0,4.00015,3.9817699999999996
71,710.0,3.99985,3.9883300000000004
72,720.0,3.99992,3.99519
73,730.0,4.0000800000000005,4.00191
74,740.0,4.00023,4.00801
75,750.0,4.0,4.01472
76,760.0,3.99992,4.02083
77,770.0,3.99969,4.02724
78,780.0,4.00015,4.03334
79,790.0,4.0,4.03929
80,800.0,3.99977,4.0457
81,810.0,3.99977,4.0518
82,820.0,3.99985,4.05791
83,830.0,3.99992,4.06416
84,840.0,4.0,4.06996
85,850.0,3.99977,4.0765199999999995
86,860.0,3.99985,4.082319999999999
87,870.0,4.0000800000000005,4.08858
88,880.0,4.0000800000000005,4.09483
89,890.0,4.0000800000000005,4.10124
90,900.0,4.0000800000000005,4.1070400000000005
91,910.0,3.99992,4.11345
92,920.0,3.99977,4.12001
93,930.0,3.99992,4.12657
94,940.0,3.99992,4.13313
95,950.0,3.99985,4.13985
96,960.0,3.99992,4.14626
97,970.0,4.0,4.15297
98,980.0,4.00015,4.16014
99,990.0,4.0,4.167009999999999
100,1000.0,4.0000800000000005,4.173719999999999
101,1010.0,3.99977,4.1805900000000005
102,1020.0,4.0,4.18761
103,1030.0,3.99985,4.19448
104,1038.0299999999988,3.99985,4.1999699999999995
105,1038.0599999999977,3.83429,4.19768
106,1048.0599999999977,3.8287199999999997,4.20211
107,1058.0599999999977,3.6154,4.2018
108,1068.0599999999977,3.4509,4.2018
109,1078.0599999999977,3.30571,4.20195
110,1088.0599999999977,3.1722,4.2018
111,1098.0599999999977,3.04288,4.2018
112,1108.0599999999977,2.92378,4.20195
113,1118.0599999999977,2.81033,4.2018
114,1128.0599999999977,2.7018400000000002,4.20165
115,1138.0599999999977,2.60121,4.2015
116,1148.0599999999977,2.50027,4.20195
117,1158.0599999999977,2.40543,4.2015
118,1168.0599999999977,2.31586,4.2018
119,1178.0599999999977,2.2290400000000004,4.2015
120,1188.0599999999977,2.1480099999999998,4.2018
121,1198.0599999999977,2.06928,4.2015
122,1208.0599999999977,1.99023,4.20119
123,1218.0599999999977,1.9139400000000002,4.2015
124,1228.0599999999977,1.8376400000000002,4.20119
125,1238.0599999999977,1.76242,4.20058
126,1248.0599999999977,1.69825,4.20012
127,1258.0599999999977,1.6424,4.20027
128,1268.0599999999977,1.5848,4.1999699999999995
129,1278.0599999999977,1.5317,4.20073
130,1288.0599999999977,1.47738,4.20027
131,1298.0599999999977,1.4255,4.20027
132,1308.0599999999977,1.37636,4.1999699999999995
133,1318.0599999999977,1.32769,4.1999699999999995
134,1328.0599999999977,1.28016,4.20012
135,1338.0599999999977,1.23545,4.20012
136,1348.0599999999977,1.19509,4.20027
137,1358.0599999999977,1.1531200000000001,4.1999699999999995
138,1368.0599999999977,1.11337,4.20012
139,1378.0599999999977,1.075,4.20027
140,1388.0599999999977,1.03799,4.20027
141,1398.0599999999977,1.0026700000000002,4.20012
142,1408.0599999999977,0.9699399999999999,4.20058
143,1418.0599999999977,0.93576,4.1999699999999995
144,1428.0599999999977,0.90509,4.20012
145,1438.0599999999977,0.87411,4.20027
146,1448.0599999999977,0.84588,4.20012
147,1458.0599999999977,0.81804,4.1999699999999995
148,1468.0599999999977,0.79072,4.1999699999999995
149,1478.0599999999977,0.76486,4.20043
150,1488.0599999999977,0.73816,4.20012
151,1498.0599999999977,0.71313,4.20012
152,1508.0599999999977,0.69039,4.1999699999999995
153,1518.0599999999977,0.6694100000000001,4.1999699999999995
154,1528.0599999999977,0.64622,4.20012
155,1538.0599999999977,0.62692,4.20012
156,1548.0599999999977,0.60624,4.19982
157,1558.0599999999977,0.5879300000000001,4.20012
158,1568.0599999999977,0.56893,4.1999699999999995
159,1578.0599999999977,0.55009,4.20027
160,1588.0599999999977,0.53384,4.20012
161,1598.0599999999977,0.51858,4.1999699999999995
162,1608.0599999999977,0.50164,4.1999699999999995
163,1618.0599999999977,0.48501000000000005,4.1999699999999995
164,1628.0599999999977,0.47036000000000006,4.1999699999999995
165,1638.0599999999977,0.45738999999999996,4.20012
166,1648.0599999999977,0.44182,4.19982
167,1658.0599999999977,0.42908,4.20012
168,1668.0599999999977,0.41588,4.1999699999999995
169,1678.0599999999977,0.40452,4.1999699999999995
170,1688.0599999999977,0.38903000000000004,4.1999699999999995
171,1698.0599999999977,0.38056,4.1999699999999995
172,1708.0599999999977,0.36713,4.20012
173,1718.0599999999977,0.35781999999999997,4.1999699999999995
174,1728.0599999999977,0.34820999999999996,4.19982
175,1738.0599999999977,0.3389,4.1999699999999995
176,1748.0599999999977,0.32769000000000004,4.19982
177,1758.0599999999977,0.32021,4.1999699999999995
178,1768.0599999999977,0.30976,4.1999699999999995
179,1778.0599999999977,0.30159,4.1999699999999995
180,1788.0599999999977,0.29313,4.20012
181,1798.0599999999977,0.28328000000000003,4.20012
182,1808.0599999999977,0.27588,4.20012
183,1818.0599999999977,0.27047,4.20012
184,1828.0599999999977,0.26055,4.20027
185,1838.0599999999977,0.25185,4.1999699999999995
186,1848.0599999999977,0.24758000000000002,4.19982
187,1858.0599999999977,0.24033000000000002,4.20012
188,1868.0599999999977,0.23445,4.19982
189,1878.0599999999977,0.22826999999999997,4.19966
190,1888.0599999999977,0.22086999999999998,4.19966
191,1898.0599999999977,0.21668,4.1999699999999995
192,1908.0599999999977,0.2105,4.1999699999999995
193,1918.0599999999977,0.20561999999999997,4.20012
194,1928.0599999999977,0.19805999999999999,4.1999699999999995
195,1938.0599999999977,0.19493,4.19966
196,1948.0599999999977,0.18921,4.19982
197,1958.0599999999977,0.18479,4.20027
198,1968.0599999999977,0.17884,4.20027
199,1978.0599999999977,0.17548,4.1999699999999995
