,Time (s),Current (A),Voltage (V)
0,0.0,-4.49981,4.02815
1,10.0,-4.50019,4.00099
2,20.0,-4.49989,3.9828300000000003
3,30.0,-4.50011,3.96895
4,40.0,-4.50004,3.9572
5,50.0,-4.50011,3.9468199999999998
6,60.0,-4.49989,3.93736
7,70.0,-4.50004,3.92805
8,80.0,-4.4997300000000005,3.91981
9,90.0,-4.50011,3.9117300000000004
10,100.0,-4.50011,3.90364
11,110.0,-4.49981,3.89586
12,120.0,-4.49989,3.88869
13,130.0,-4.50011,3.88136
14,140.0,-4.49996,3.87388
15,150.0,-4.50011,3.86671
16,160.0,-4.5002699999999995,3.85954
17,170.0,-4.49996,3.8525199999999997
18,180.0,-4.5002699999999995,3.8455
19,190.0,-4.49989,3.83848
20,200.0,-4.50004,3.8313099999999998
21,210.0,-4.50004,3.82475
22,220.0,-4.50011,3.8180400000000003
23,230.0,-4.49996,3.81163
24,240.0,-4.50004,3.80491
25,250.0,-4.49989,3.7982
26,260.0,-4.49996,3.79149
27,270.0,-4.50011,3.7852300000000003
28,280.0,-4.49989,3.7791300000000003
29,290.0,-4.50004,3.77256
30,300.0,-4.50004,3.7661599999999997
31,310.0,-4.50004,3.75959
32,320.0,-4.50011,3.75349
33,330.0,-4.49981,3.7469300000000003
34,340.0,-4.50019,3.7405199999999996
35,350.0,-4.50019,3.7339599999999997
36,360.0,-4.49989,3.7274
37,370.0,-4.49989,3.72084
38,380.0,-4.50004,3.7139699999999998
39,390.0,-4.50004,3.7071
40,400.0,-4.50004,3.7000800000000003
41,410.0,-4.50004,3.69291
42,420.0,-4.50011,3.68528
43,430.0,-4.50004,3.6775
44,440.0,-4.49996,3.66941
45,450.0,-4.4997300000000005,3.66117
46,460.0,-4.49981,3.65202
47,470.0,-4.50011,3.6431699999999996
48,480.0,-4.50004,3.63294
49,490.0,-4.50004,3.6231800000000005
50,500.0,-4.49996,3.6125
51,510.0,-4.50011,3.60121
52,520.0,-4.50011,3.5902199999999995
53,530.0,-4.50019,3.5787699999999996
54,540.0,-4.50019,3.56794
55,550.0,-4.50019,3.55665
56,560.0,-4.49981,3.54566
57,570.0,-4.49989,3.5352900000000003
58,580.0,-4.49989,3.5252199999999996
59,590.0,-4.50011,3.51575
60,600.0,-4.50004,3.5061400000000003
61,610.0,-4.49996,3.4969900000000003
62,620.0,-4.50004,3.48814
63,630.0,-4.50004,3.4802
64,640.0,-4.49996,3.47181
65,650.0,-4.49989,3.46372
66,660.0,-4.50004,3.4564
67,670.0,-4.50019,3.4489199999999998
68,680.0,-4.50004,3.44175
69,690.0,-4.50004,3.43488
70,700.0,-4.49981,3.42786
71,710.0,-4.50019,3.42115
72,720.0,-4.50004,3.41474
73,730.0,-4.49996,3.4078699999999995
74,740.0,-4.50004,3.4014599999999997
75,750.0,-4.49996,3.39445
76,760.0,-4.50011,3.3878800000000004
77,770.0,-4.5002699999999995,3.3813199999999997
78,780.0,-4.50004,3.3746099999999997
79,790.0,-4.49989,3.3679
80,800.0,-4.49996,3.36133
81,810.0,-4.50011,3.35386
82,820.0,-4.49996,3.3465300000000004
83,830.0,-4.49996,3.33906
84,840.0,-4.4997300000000005,3.3312699999999995
85,850.0,-4.49981,3.32303
86,860.0,-4.50019,3.31449
87,870.0,-4.50004,3.3056400000000004
88,880.0,-4.49989,3.29587
89,890.0,-4.50011,3.2858
90,900.0,-4.49989,3.27481
91,910.0,-4.50011,3.26307
92,920.0,-4.50004,3.24949
93,930.0,-4.50004,3.2351400000000003
94,940.0,-4.49981,3.2183599999999997
95,950.0,-4.49989,3.1998900000000003
96,960.0,-4.49996,3.17777
97,970.0,-4.49981,3.15259
98,980.0,-4.49996,3.1231400000000002
99,990.0,-4.49989,3.0882
100,1000.0,-4.50019,3.0476099999999997
101,1010.0,-4.49989,3.0007599999999996
102,1020.0,-4.49996,2.94507
103,1030.0,-4.49996,2.87747
104,1040.0,-4.49989,2.78622
105,1050.0,-4.49996,2.6684200000000002
106,1060.0,-4.5002699999999995,2.52316
107,1061.4099999999162,-4.49996,2.4999599999999997
